0	1	4	Joe Rogan podcast. Check it out.
1	5	8	The Joe Rogan experience.
0	9	12	Showing my day, Joe Rogan podcast, my night, all day. Hello, guys. Hi, Joe.
2	13	16	Good to see you again. We were just talking about was that the first time we ever spoke? Or did was the first time we spoke at at SpaceX?
0	17	20	SpaceX.
2	21	24	SpaceX is the first time. When you were giving Elon that crazy AI chip.
0	25	28	Right. DGX Spark.
2	29	32	Yeah. Oh. That was a big moment.
0	33	36	That was a huge moment.
2	37	40	Felt crazy to be there. I was like watching these wizards of tech, like, exchange information and and what you're giving him this crazy device. You know? And then the other time was I was shooting arrows in my backyard and randomly get this call from Trump and he's hanging out
0	41	44	with you. President Trump called and I called you.
2	45	48	Yeah. It's just We
0	49	52	were talking about you. He's so We're talking about you. He was talking about the US UFC thing he was gonna do in his front yard.
2	53	56	Yeah.
0	57	66	And he pulls out. He said, Jensen, look at this design. He's so proud of it. And I go, you're gonna have a fight in the front lawn in the White House? He goes, yeah.
Yeah. You're gonna come. This is gonna be awesome. And he's showing me his design and how beautiful it is. And he goes and and somehow, your name comes up.
He goes, do you know Joe? And I said, yeah. I'm gonna be on his podcast. He's let's call him. He's like a kid.
I know. Let's call him.
2	67	70	It's so he's like a 79
0	71	74	year old kid. He's so incredible.
2	75	82	Yeah. He's an odd guy. Just very different. You know? Like, the what you'd expect from him, very different than what people think of him, and also just very different as a president.
A guy who just calls you or texts you out of the blue. Also, makes when he he texts you, you have an Android, so it won't go through with you. But with my iPhone, he makes the text go big. Like, is that right? USA is respected again.
Like, all caps and it makes the the text enlarge. It's kinda ridiculous.
0	83	86	Well, the one zero one Trump, president Trump is very different. He he surprised me. First of all, he's an incredibly good listener. Almost everything I've ever said to him, he's remembered.
2	87	90	Yeah. People don't they only wanna look at negative stories about him or negative narratives about him. You know, you can catch anybody on a bad day.
0	91	94	Like, there's a lot
2	95	102	of things he does where I don't think he should do. Like, I don't think he should say to a report reporter, quiet piggy. Like, that's pretty ridiculous. Also, objectively funny. I mean, it's unfortunate that it happened to her.
I wouldn't want that to happen to her, but it was funny. Just ridiculous that the president does that. I wish he didn't do that. But other than that, like, he's he's an interesting guy. Like, he's a lot of different things wrapped up into one person.
You know?
0	103	106	You know, part of part of his charm, or part of his genius is just he says what's on his mind.
2	107	110	Yes. And that's Which is like an anti politician in
0	111	114	a lot of ways. Right. So you know what's on his mind is really what's on his mind, which And I take people prefer. I I do I do Some
2	115	118	people would rather be lied to.
0	119	124	Yeah. But but I I like the fact that he's telling you what's on his mind. Almost every time he explains something and he says something, he starts with his you could tell his love for America, what he wants to do for America. And everything that he thinks through is very practical and very common sense and, you know, it's very logical. And I still remember the first time I I met him, and so this was I I'd never known him, never met him before, and secretary called and we met right before right at the beginning of the administration.
He said, he told me what was important to president Trump that that United States manufactures onshore. And that was really important to him because because it's important to national security. He wants to make sure that that the important critical technology of our nation is built in The United States, and that we re industrialize and get good at manufacturing again because it's important for jobs.
2	125	128	It just seems like common sense. Right?
